q02,q06,count
Female,CRD: Cosmic-ray physics (Direct),9
Female,CRI: Cosmic-ray physics (Indirect),18
Female,DM: Dark-matter physics,9
Female,GA: Gamma-ray astronomy,17
Female,MM&GW: Multimessenger & gravitational wave,10
Female,NU: Neutrino astronomy & physics,16
Female,SH: Solar & heliospheric physics,5
Male,CRD: Cosmic-ray physics (Direct),17
Male,CRI: Cosmic-ray physics (Indirect),62
Male,DM: Dark-matter physics,7
Male,GA: Gamma-ray astronomy,45
Male,MM&GW: Multimessenger & gravitational wave,15
Male,NU: Neutrino astronomy & physics,32
Male,SH: Solar & heliospheric physics,14
