timestamp,q01,q02,q05,q06,q07,q08,q09,q10,q11,q12_genderbalance,q12_diversity,q12_equity,q12_inclusion,q13,q14,q17_genderbalance,q17_diversity,q17_equity,q17_inclusion,q19,q03_regional,q04_regional,q01_clustered,q13_clustered,q01q02_clustered,q13q14_clustered,q10_binned,q13_binned,q15_polarity,q15_subjectivity,q16_polarity,q16_subjectivity,q18_polarity,q18_subjectivity,q20_polarity,q20_subjectivity,q21_polarity,q21_subjectivity,q22_polarity,q22_subjectivity
2023-07-08,30s,Male,Postdoc,GA: Gamma-ray astronomy,Experimentalist,5 - 10 yeas,No,0,Yes,Very Poor,Very Poor,Very Poor,Very Poor,30,Very Poor,Agree,Agree,Agree,Agree,Junior High school,America,Europe,Cluster1,Others,Cluster2,Others,0,30%,,,,,,,,,,,,
2023-07-08,40s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,7,No,Poor,Poor,Poor,Poor,5,Poor,No interest,No interest,No interest,No interest,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,7,0%,,,,,,,,,,,,
2023-07-08,40s,Male,Permanent staff,GA: Gamma-ray astronomy,Experimentalist,> 10 years,No,1,No,Poor,Poor,Good,Good,10,Poor,Agree,Agree,Agree,Agree,High school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,1,10%,,,,,,,,,,,,
2023-07-08,30s,Male,Fixed-term staff,CRD: Cosmic-ray physics (Direct),Experimentalist,5 - 10 yeas,Yes,4,No,Very Poor,Poor,Good,Good,10,Very Poor,Agree,Agree,Agree,Agree,Elementary school,America,America,Cluster1,Cluster1,Cluster2,Cluster1,4,10%,,,,,,,,,,,,
2023-07-08,20s,Male,Doctrate,NU: Neutrino astronomy & physics,Experimentalist,1 - 3 years,Prefer not to answer,3,Yes,Prefer not to answer,Good,Poor,Poor,40,Poor,Agree,Agree,Agree,Agree,University,America,Asia,Cluster1,Cluster2,Cluster2,Others,3,40%,,,,,,,,,,,,
2023-07-08,40s,Male,Fixed-term staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,No,3,No,Poor,Good,Very Good,Very Good,5,Very Poor,Agree,Agree,Agree,Agree,Junior High school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,3,0%,,,,,,,,,,,,
2023-07-08,30s,Male,Postdoc,MM&GW: Multimessenger & gravitational wave,Theorist,5 - 10 yeas,Yes,6,No,Good,Good,Good,Good,0,Poor,No interest,Agree,Agree,Agree,High school,Asia,Asia,Cluster1,Cluster1,Cluster2,Cluster1,6,0%,0.0,0.0,,,0.0,0.0,,,,,,
2023-07-08,40s,Male,Fixed-term staff,DM: Dark-matter physics,Prefer not to answer,> 10 years,Yes,4,No,No interest,No interest,No interest,No interest,25,No interest,No interest,No interest,No interest,No interest,Elementary school,Asia,Asia,Cluster2,Others,Others,Others,4,25%,,,,,,,,,0.25,0.4,,
2023-07-08,20s,Male,Postdoc,MM&GW: Multimessenger & gravitational wave,Experimentalist,5 - 10 yeas,Yes,0,No,No interest,Very Good,Very Good,Good,60,No interest,No interest,Agree,Agree,Agree,Pre school,Europe,Europe,Cluster1,Cluster2,Cluster2,Others,0,60%,,,,,,,,,,,,
2023-07-08,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,1,No,Very Poor,Very Poor,Good,Poor,5,Very Poor,Agree,Agree,Agree,Agree,Pre school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,1,0%,,,,,,,,,,,,
2023-07-08,60s,Male,Permanent staff,NU: Neutrino astronomy & physics,Experimentalist,> 10 years,Yes,2,Prefer not to answer,Poor,Poor,Good,Poor,4,Poor,Disagree,Agree,Agree,Agree,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Cluster1,2,0%,,,,,-0.0541666666666666,0.3666666666666667,,,,,,
2023-07-08,30s,Male,Fixed-term staff,MM&GW: Multimessenger & gravitational wave,Experimentalist,5 - 10 yeas,Yes,4,No,Very Good,Very Good,Very Good,Very Good,28,Poor,Agree,Agree,Agree,Agree,Elementary school,America,Europe,Cluster1,Others,Cluster2,Others,4,25%,0.0,0.0,-0.25,0.8888888888888888,,,0.0,0.0,0.0,0.0,,
2023-07-08,50s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,No,10,No,Good,Good,Poor,Poor,5,Good,Disagree,Disagree,Agree,Agree,High school,Asia,Asia,Cluster2,Cluster1,Others,Others,10+,0%,,,,,,,,,,,,
2023-07-08,60s,Male,Permanent staff,CRI: Cosmic-ray physics (Indirect),Experimentalist,> 10 years,Yes,1,No,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,1,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Elementary school,Asia,Asia,Cluster2,Cluster1,Others,Others,1,0%,,,,,,,,,,,0.0,0.75
